,s,r,n,sol,file,datetime,experiment,seed
107,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
108,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
109,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
110,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
111,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
112,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:14,hashing_experiment.py,10
113,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:14,hashing_experiment.py,10
114,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:15,hashing_experiment.py,10
115,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:15,hashing_experiment.py,10
116,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:15,hashing_experiment.py,10
117,1,6,965,2208,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:15,hashing_experiment.py,10
118,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:16,hashing_experiment.py,10
119,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:16,hashing_experiment.py,10
120,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:16,hashing_experiment.py,10
121,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:16,hashing_experiment.py,10
122,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:17,hashing_experiment.py,10
123,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:17,hashing_experiment.py,10
124,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:17,hashing_experiment.py,10
125,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:17,hashing_experiment.py,10
126,1,6,965,10272,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:17,hashing_experiment.py,10
127,1,6,965,2304,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:18,hashing_experiment.py,10
128,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:18,hashing_experiment.py,10
129,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:18,hashing_experiment.py,10
130,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:18,hashing_experiment.py,10
131,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:18,hashing_experiment.py,10
132,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
133,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
134,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
135,1,6,965,10272,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
136,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
137,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
138,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:19,hashing_experiment.py,10
139,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:20,hashing_experiment.py,10
140,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:20,hashing_experiment.py,10
141,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:20,hashing_experiment.py,10
142,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:20,hashing_experiment.py,10
143,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:20,hashing_experiment.py,10
144,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:21,hashing_experiment.py,10
145,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:21,hashing_experiment.py,10
146,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:21,hashing_experiment.py,10
147,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:22,hashing_experiment.py,10
148,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:22,hashing_experiment.py,10
149,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:22,hashing_experiment.py,10
150,1,6,965,8016,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:23,hashing_experiment.py,10
151,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:23,hashing_experiment.py,10
152,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:23,hashing_experiment.py,10
153,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:24,hashing_experiment.py,10
154,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:24,hashing_experiment.py,10
155,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:24,hashing_experiment.py,10
156,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:24,hashing_experiment.py,10
157,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
158,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
159,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
160,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
161,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
162,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:25,hashing_experiment.py,10
163,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:26,hashing_experiment.py,10
164,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:26,hashing_experiment.py,10
165,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:26,hashing_experiment.py,10
166,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:26,hashing_experiment.py,10
167,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
168,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
169,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
170,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
171,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
172,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
173,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
174,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
175,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:27,hashing_experiment.py,10
176,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
177,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
178,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
179,1,6,965,6912,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
