m_upper: 1024, m_lower 896, m: 960, i: 93, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 94, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 95, last_sol: 1953792
m_upper: 1024, m_lower 896, m: 960, i: 96, last_sol: 453984
m_upper: 1024, m_lower 896, m: 960, i: 97, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 98, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 99, last_sol: 0
lb: 500, ub: 2000, sols: 0
m_upper: 1024, m_lower 960
m_upper: 1024, m_lower 960, m: 992, i: 0, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 1, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 2, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 3, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 4, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 5, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 6, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 7, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 8, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 9, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 10, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 11, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 12, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 13, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 14, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 15, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 16, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 17, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 18, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 19, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 20, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 21, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 22, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 23, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 24, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 25, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 26, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 27, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 28, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 29, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 30, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 31, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 32, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 33, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 34, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 35, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 36, last_sol: 0
